,14711940a_metr,28325075a_metr,28325089a_metr,28325090a_metr,33188530a_metr,33188571a_metr,33188571b_metr,33188590a_metr,33188602a_metr,33188602b_metr,33188644a_metr,33188653a_metr,33188653b_metr,33188661a_metr,33188698a_metr,33188724a_metr,33188757a_metr,33188784a_metr,33188804a_metr,33188804b_metr,33188856a_metr,33188873a_metr,33188898a_metr,33188910a_metr,33188914a_metr,33188914b_metr,33188945a_metr,33188967a_metr,33188969a_metr,33188969b_metr,33707243a_metr
33188644a_metr,0.9949,0.99534,0.99762,0.99269,0.98628,0.99404,0.9937,0.96692,0.9955,0.99869,1.0,0.99053,0.9972,0.98776,0.96986,0.98788,0.99481,0.98826,0.95942,0.95884,0.97327,0.9836,0.9839,0.99635,0.99105,0.98308,0.99846,0.95607,0.98344,0.98743,0.97703
33188653a_metr,0.99522,0.99598,0.99655,0.99346,0.98821,0.98491,0.98498,0.99227,0.99877,0.99876,0.98559,1.0,0.99563,0.99569,0.82939,0.90113,0.99762,0.98989,0.80183,0.99656,0.82508,0.99664,0.98696,0.98863,0.98482,0.99543,0.99594,0.91851,0.99122,0.98496,0.99816
33188653b_metr,0.98094,0.94658,0.9376,0.97702,0.99861,0.99923,0.99714,0.94563,0.94732,0.96022,0.99721,0.99417,1.0,0.95586,0.92326,0.73196,0.92162,0.98148,0.86532,0.99551,0.86119,0.98572,0.98759,0.99716,0.99334,0.99367,0.97061,0.94384,0.9812,0.99645,0.99033
33188661a_metr,0.9937,0.97043,0.96371,0.99153,0.99906,0.99839,0.99994,0.96972,0.971,0.9802,0.99497,0.99907,0.98131,1.0,0.93604,0.70502,0.95132,0.99423,0.89018,0.99903,0.81186,0.99647,0.99735,0.997,0.99844,0.99859,0.96583,0.95003,0.99401,1.0,0.97577
33188698a_metr,0.99174,0.98241,0.97686,0.99169,0.99704,0.99649,0.99675,0.98207,0.97743,0.98286,0.98327,0.99341,0.98843,0.98413,1.0,0.85832,0.96578,0.99454,0.84887,0.99693,0.86668,0.99593,0.99472,0.99655,0.99716,0.99242,0.97029,0.88332,0.99335,0.99644,0.99217
33188724a_metr,0.98625,0.9518,0.94404,0.98238,0.99674,0.99644,0.99705,0.95093,0.95648,0.96874,0.99931,0.99733,0.96659,0.96284,0.92517,1.0,0.93041,0.98514,0.82452,0.99343,0.75092,0.98819,0.99069,0.99275,0.99127,0.99742,0.93973,0.87271,0.98562,0.99697,0.95714
33188757a_metr,0.92965,0.86974,0.85643,0.92173,0.97136,0.97547,0.96552,0.86831,0.87351,0.89445,0.99719,0.95981,0.90387,0.88546,0.90477,0.63557,1.0,0.92912,0.7646,0.9609,0.82071,0.9372,0.94181,0.9697,0.95505,0.95968,0.90877,0.91443,0.92918,0.96349,0.92652
33188784a_metr,0.98148,0.95546,0.94668,0.97728,0.99751,0.99795,0.99657,0.94416,0.96266,0.96119,0.99666,0.99496,0.96061,0.97551,0.93729,0.77347,0.92101,1.0,0.68692,0.99376,0.78239,0.9851,0.98748,0.99481,0.99131,0.99477,0.97758,0.93905,0.98125,0.99607,0.99311
33188804a_metr,0.97115,0.95079,0.94416,0.94638,0.96685,0.97012,0.96285,0.86862,0.93751,0.92112,0.99318,0.96093,0.92021,0.96342,0.8999,0.72767,0.87807,0.95915,1.0,0.95555,0.82752,0.93629,0.959,0.96205,0.94938,0.96157,0.96261,0.9156,0.96544,0.96145,0.98087
33188804b_metr,0.97613,0.96637,0.96046,0.98152,0.99216,0.99407,0.98915,0.91985,0.988,0.93946,0.99862,0.98544,0.93943,0.9797,0.92516,0.7877,0.89199,0.993,0.69077,1.0,0.77445,0.97125,0.98266,0.99033,0.98246,0.98515,0.97327,0.91328,0.98924,0.98799,0.99605
