,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,capital
33188685c_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3491958928239,4.85106630420561,5.32590115198811,5.7750452079566,6.2959265729418,6.52072786974962,6.56673995817022,6.98973110311243,7.09023577010767,7.72077640852002,8.07186171149636,8.61930696032078,9.05784572089529,9.80664000196305,9.88776189937534,10.5714181081312,11.063743644093,10.813795446823,10.8501184485014,10.919836161498,11.0404699276944,11.1893412967323,11.2946645636422,11.621361809569,11.9755779462853,12.148033538493,11.9458324776964,12.0083907561056,12.3023520528338,12.0829201927733,12.830847034661,12.3653623085482,13.074833968551,13.4720274271466,12.9575764890471,13.450931913275,13.7074377465052,13.969113870616,13.4975653049965,13.7950813795081,15.1124285637985,15.401236118788,13.3013616287275,12.330444980129,,,,,,,,Natural
33707231a_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9379537049719,51.2322110378341,49.2063492063492,47.6512533999853,47.865727310402,46.4136918539289,44.3517758160542,41.991735331458,42.2671002338981,41.7054652432684,41.9989276628801,41.8711795286936,40.6471213769995,39.0610355152495,40.0679486818882,39.7048768628149,37.5872864750549,39.0954446481589,39.37622542465,40.2176267278259,42.2017818940506,41.531121772784,39.9497384902746,38.8837631550586,40.0412768942264,39.2487104379698,40.0903100866234,38.6295012091973,39.0608503400143,35.907605042964,36.7072297712255,36.9111050053404,36.21572054167,37.307898910178,37.8611205730284,38.5736711554054,39.1896126285357,36.9279773332321,36.8127531820687,37.2008414127324,36.7114661290604,37.4998120192399,37.7164585755046,37.8109061092093,,,,,,,,Natural
33188685a_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0969511234587,67.7012313015162,66.6904496469714,66.5735985533454,65.3356625904667,64.5546586400328,64.9662144044618,64.2229515138683,64.45261534812,63.3922595377771,62.502830687165,62.3125261834939,62.4557303156414,61.2224866880966,61.0773852167465,60.3083533734543,59.8521023613608,60.3113926508422,60.6043820052565,60.2223522527794,59.1891860012503,58.8778498822719,57.8786333503315,57.3389235704937,56.6554713017786,56.1109910237887,55.7852465375225,55.0860169690151,54.8455443982374,54.8262503747089,53.6068813974802,52.9602537698554,52.6028710317913,52.1193704223157,51.392191177358,50.4493153290224,49.9626595719853,49.0167798220002,49.1652474273789,48.597069859707,43.7737007958126,43.3294809306065,45.3558267778271,46.4616587399831,,,,,,,,Natural
33188670b_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.29,682.25,636.03,696.92,734.13,771.33,834.05,773.32,780.58,805.81,860.77,862.91,867.42,798.93,826.2,821.64,882.19,877.05,904.83,840.85,856.28,910.26,907.37,895.27,906.62,915.22,956.6,873.56,926.56,935.88,897.74,877.61,873.91,905.31,844.88,811.51,816.01,812.73,804.86,841.22,741.41,702.01,742.18,737.73,,,,,,,,Economic
33188670a_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.91,169.25,174.18,170.74,155.36,165.34,169.66,176.34,178.68,157.15,166.76,180.34,181.96,196.09,206.32,197.61,180.76,197.03,198.21,225.23,217.65,236.58,216.61,219.59,215.54,211.23,215.6,229.31,239.53,238.77,247.78,231.02,261.95,265.1,260.82,261.05,257.94,262.06,263.94,281.21,283.15,291.3,265.17,298.59,,,,,,,,Economic
33188856a_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.832,2.948173,3.027215,3.118793,3.327757,3.407772,3.569063,3.715015,3.891126,4.062358,4.100501,4.131204,4.126675,4.172465,4.193045,4.2419,4.278604,4.326423,4.371583,4.557445,4.73082,4.793675,4.936102,4.9157,4.89637,4.940006,5.33001,5.464665,5.653459,5.461285,5.567945,5.475775,5.579536,5.712413,6.005711,6.025737,6.060132,5.996258,6.015645,6.081901,6.100664,6.134005,5.940211,,,,,,,,,Natural
33188851a_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.138418079096,20.6288097747317,21.7102187984666,22.4058794540067,22.4703005658166,23.4103690035601,23.7895212272801,24.8993611062136,25.9854345503075,26.6435897574758,28.5453167795838,30.2866670345981,31.6641121484003,32.8933855646482,36.5616157231797,38.7067116150781,41.3360058561157,42.2155438800136,43.7274781240571,42.9504909000547,45.2526200531832,46.5962961610873,46.7190912991668,47.5151046646459,48.7375341324287,50.6073474404687,50.0939022628475,50.9576524818996,49.9421504604526,51.2935142553447,50.430544841948,50.1440435372162,49.9958419481477,50.9839362104946,53.5442181616798,52.7028809919849,52.4762826948324,52.4703573461982,52.4573009211814,52.9752292909733,52.7920239501799,52.2334918214119,52.1902504810014,,,,,,,,,Natural
14711940a_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.03876025948637,75.6313922746586,71.53877223996575,70.74289662867646,69.12960717972297,,61.39345976241633,65.25938830758378,62.29080184291814,82.94304031423884,99.0816885180336,89.31301764907863,59.02079092991298,69.78863655096175,68.77710300000001,80.42733846646831,74.9919473901099,87.03961397100787,75.44819179999999,55.538828,51.49289800000002,51.98820950000001,73.29031932631007,60.3440391,67.2328027,60.77716169999998,35.0453833,47.64191889999999,45.48839523,58.94404657000002,55.03330379000001,47.11239020000001,44.14250377999998,48.62318431000001,37.42371642,50.94173854,57.14794199999999,47.59037178,40.75708699999999,50.6862472,40.8776912,42.739034,,,,,,,,,,,,,Natural
33707243a_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299918148586005,0.34087395956178,0.433464233251456,0.308874902602981,0.348343553997031,0.325487788902035,0.319196409374913,0.318738357774387,0.307114766444822,0.335680993117349,0.325935481644152,0.332159860307005,0.31742517478571,0.36175796157253,0.386251683857088,0.421811427053493,0.37544581119441,0.370773203817964,0.421643882672022,0.441732705756162,0.393002651702629,0.458420062292422,0.467565063507081,0.45503582494042,0.49387370405278,0.507846552974513,0.532243639725455,0.452783866725121,0.439163935048633,0.439342496237432,0.491318266579052,0.49994633562631,0.560743250857087,0.601919472592299,,,,,,,,Economic
33188545a_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.987855922619,28.0001031258322,32.4028515510317,36.8805234372897,39.0634685760508,41.1853048272544,42.9749954264745,45.103513269457,47.1968898197667,44.7361202250409,43.6522092459284,42.4760580202466,46.0045976484175,46.4062446384837,45.7297119446736,43.4023834891027,38.2782559874223,34.263841780208,32.1026286041321,30.6579165628915,29.2075093466945,28.5161762180141,29.2124351269932,29.1419593873875,29.3153865037866,28.8093004139174,27.7063881121135,28.058526398631,26.1373615903882,25.5540247256157,28.2113794507855,26.9946217184658,25.8963595479682,25.9629043043254,,,,,,,,Economic
